Найден на шаге: 993	Энергетическая функция: 0.7817
(0, 0, 0)	(354, 386, 372)	XYZ
(354, 0, 0)	(390, 276, 358)	XYZ
(354, 0, 358)	(375, 248, 379)	XYZ
(0, 0, 372)	(323, 365, 280)	XYZ
(0, 386, 0)	(306, 365, 295)	XYZ
(354, 276, 0)	(368, 263, 339)	XYZ
(354, 539, 0)	(367, 318, 266)	XYZ
(0, 0, 652)	(276, 334, 286)	XYZ
(0, 386, 295)	(305, 283, 304)	XYZ
(354, 539, 266)	(294, 306, 288)	XYZ
(354, 539, 554)	(289, 285, 286)	XZY
(744, 0, 0)	(262, 322, 268)	ZYX
(744, 0, 268)	(239, 306, 306)	XZY
(744, 322, 0)	(260, 296, 285)	XZY
(0, 751, 0)	(302, 268, 268)	ZYX
(0, 386, 599)	(293, 240, 304)	XYZ
(744, 618, 0)	(254, 307, 265)	YXZ
(744, 618, 265)	(251, 306, 261)	XYZ
(0, 751, 268)	(293, 232, 290)	ZXY
(744, 0, 574)	(238, 286, 274)	YXZ
(354, 276, 339)	(287, 251, 254)	ZXY
(744, 322, 285)	(250, 289, 253)	ZXY
(-1, -1, -1)	(275, 304, 218)	XYZ
(744, 322, 538)	(236, 289, 263)	YXZ
(-1, -1, -1)	(252, 254, 272)	XYZ
(354, 0, 737)	(285, 234, 254)	YZX
(354, 276, 593)	(257, 236, 277)	XYZ
(-1, -1, -1)	(290, 269, 208)	XZY
(744, 618, 526)	(239, 290, 234)	XYZ
(-1, -1, -1)	(240, 249, 269)	YZX
(744, 618, 760)	(238, 277, 243)	XZY
(0, 751, 558)	(279, 225, 254)	XYZ
(-1, -1, -1)	(217, 278, 262)	YXZ
(-1, -1, -1)	(222, 279, 251)	YZX
(-1, -1, -1)	(278, 246, 226)	YZX
(-1, -1, -1)	(300, 235, 217)	YZX
(-1, -1, -1)	(223, 226, 303)	XZY
(-1, -1, -1)	(307, 214, 232)	YXZ
(-1, -1, -1)	(245, 244, 247)	XZY
(-1, -1, -1)	(251, 269, 217)	ZXY
(-1, -1, -1)	(284, 231, 223)	YZX
(-1, -1, -1)	(214, 222, 295)	XYZ
(-1, -1, -1)	(238, 253, 222)	XZY
(744, 322, 801)	(222, 283, 211)	YZX
(-1, -1, -1)	(234, 235, 234)	ZXY
(-1, -1, -1)	(281, 215, 212)	ZXY
(0, 751, 812)	(212, 211, 205)	ZYX
(354, 857, 0)	(178, 154, 182)	XYZ
(532, 857, 0)	(182, 153, 179)	XYZ
(354, 539, 840)	(159, 167, 180)	XYZ
(744, 0, 848)	(166, 163, 167)	ZYX
(-1, -1, -1)	(183, 151, 159)	XZY
(354, 857, 182)	(165, 142, 184)	XYZ
(-1, -1, -1)	(150, 182, 155)	ZYX
(532, 857, 179)	(153, 152, 170)	XYZ
(513, 539, 840)	(127, 174, 176)	YZX
(354, 276, 870)	(161, 179, 133)	YZX
(0, 386, 903)	(176, 181, 120)	XZY
(-1, -1, -1)	(168, 133, 168)	YXZ
(-1, -1, -1)	(129, 158, 181)	ZYX
(-1, -1, -1)	(134, 155, 174)	YZX
(354, 857, 366)	(163, 125, 174)	YXZ
(532, 857, 349)	(147, 147, 163)	ZXY
(-1, -1, -1)	(162, 163, 132)	YXZ
(532, 857, 512)	(141, 147, 166)	XYZ
(-1, -1, -1)	(164, 178, 117)	XYZ
(-1, -1, -1)	(176, 129, 143)	XYZ
(-1, -1, -1)	(183, 137, 126)	YXZ
(744, 163, 848)	(166, 119, 158)	YXZ
(-1, -1, -1)	(183, 144, 114)	XZY
(-1, -1, -1)	(171, 182, 96)	XYZ
(354, 706, 840)	(148, 115, 175)	YZX
(-1, -1, -1)	(167, 112, 157)	XYZ
(744, 925, 0)	(183, 91, 175)	XYZ
(-1, -1, -1)	(130, 165, 135)	XYZ
(354, 857, 540)	(160, 114, 158)	XYZ
(354, 857, 698)	(140, 114, 173)	ZXY
(-1, -1, -1)	(155, 134, 130)	XZY
(-1, -1, -1)	(139, 178, 109)	XZY
(-1, -1, -1)	(148, 170, 105)	ZYX
(532, 857, 678)	(132, 129, 155)	YXZ
(-1, -1, -1)	(178, 107, 136)	ZYX
(744, 925, 175)	(172, 88, 168)	XYZ
(-1, -1, -1)	(165, 151, 102)	ZYX
(-1, -1, -1)	(173, 121, 121)	XZY
(-1, -1, -1)	(97, 165, 158)	YZX
(-1, -1, -1)	(124, 174, 116)	XZY
(-1, -1, -1)	(122, 151, 135)	XYZ
(-1, -1, -1)	(120, 177, 117)	ZYX
(-1, -1, -1)	(152, 163, 100)	YZX
(-1, -1, -1)	(154, 99, 161)	XZY
(0, 0, 938)	(154, 184, 85)	XYZ
(639, 0, 737)	(90, 165, 161)	YXZ
(-1, -1, -1)	(145, 138, 118)	ZYX
(-1, -1, -1)	(121, 139, 140)	ZYX
(-1, -1, -1)	(97, 154, 156)	ZYX
(-1, -1, -1)	(122, 146, 130)	XYZ
(-1, -1, -1)	(166, 165, 84)	YXZ
(532, 857, 833)	(126, 123, 148)	YXZ
(-1, -1, -1)	(184, 116, 107)	ZYX
(-1, -1, -1)	(127, 125, 143)	ZYX
(-1, -1, -1)	(100, 145, 156)	XZY
(744, 925, 343)	(158, 84, 169)	XZY
(513, 713, 840)	(122, 100, 183)	ZXY
(176, 386, 903)	(110, 166, 121)	ZYX
(-1, -1, -1)	(149, 132, 112)	YZX
(515, 276, 870)	(82, 173, 154)	ZXY
(-1, -1, -1)	(127, 130, 132)	YXZ
(-1, -1, -1)	(154, 129, 108)	YZX
(-1, -1, -1)	(90, 180, 132)	XZY
(-1, -1, -1)	(170, 128, 98)	ZYX
(-1, -1, -1)	(114, 111, 162)	YXZ
(-1, -1, -1)	(135, 120, 125)	XZY
(-1, -1, -1)	(146, 122, 110)	YZX
(-1, -1, -1)	(161, 138, 88)	YXZ
(-1, -1, -1)	(128, 168, 89)	YXZ
(-1, -1, -1)	(161, 127, 93)	ZYX
(641, 276, 339)	(81, 163, 143)	YXZ
(-1, -1, -1)	(119, 169, 93)	ZXY
(-1, -1, -1)	(108, 164, 105)	XZY
(0, 669, 295)	(177, 75, 140)	ZXY
(-1, -1, -1)	(116, 100, 158)	XZY
(-1, -1, -1)	(107, 171, 100)	YXZ
(-1, -1, -1)	(139, 126, 104)	YXZ
(-1, -1, -1)	(104, 117, 147)	ZYX
(-1, -1, -1)	(86, 182, 113)	ZXY
(-1, -1, -1)	(96, 124, 148)	YZX
(0, 669, 435)	(166, 68, 152)	YZX
(-1, -1, -1)	(111, 94, 161)	ZYX
(-1, -1, -1)	(135, 158, 78)	YXZ
(212, 751, 812)	(59, 168, 167)	XYZ
(-1, -1, -1)	(91, 162, 112)	XYZ
(641, 276, 482)	(81, 126, 161)	ZXY
(-1, -1, -1)	(136, 116, 103)	XZY
(-1, -1, -1)	(119, 148, 92)	YZX
(177, 669, 295)	(117, 82, 168)	XYZ
(744, 925, 512)	(142, 79, 142)	ZYX
(-1, -1, -1)	(180, 91, 97)	YXZ
(-1, -1, -1)	(178, 159, 56)	YXZ
(-1, -1, -1)	(184, 61, 140)	ZYX
(-1, -1, -1)	(92, 166, 102)	ZYX
