Найден на шаге: 979	Энергетическая функция: 0.7788
(0, 0, 0)	(386, 372, 354)	YZX
(386, 0, 0)	(390, 276, 358)	XYZ
(0, 372, 0)	(379, 375, 248)	XYZ
(0, 0, 354)	(323, 365, 280)	XYZ
(0, 0, 634)	(306, 365, 295)	YXZ
(0, 372, 248)	(368, 263, 339)	XYZ
(386, 276, 0)	(367, 318, 266)	XYZ
(0, 747, 0)	(334, 276, 286)	XZY
(386, 276, 266)	(283, 305, 304)	XYZ
(386, 594, 0)	(306, 294, 288)	XYZ
(386, 594, 288)	(286, 285, 289)	YZX
(-1, -1, -1)	(268, 322, 262)	XYZ
(776, 0, 0)	(239, 306, 306)	YZX
(0, 372, 587)	(285, 260, 296)	XYZ
(0, 747, 286)	(302, 268, 268)	ZYX
(-1, -1, -1)	(304, 293, 240)	YXZ
(0, 747, 554)	(254, 265, 307)	YZX
(386, 0, 358)	(261, 251, 306)	ZXY
(-1, -1, -1)	(290, 232, 293)	XYZ
(386, 276, 570)	(274, 286, 238)	YZX
(-1, -1, -1)	(254, 287, 251)	YZX
(386, 0, 664)	(253, 250, 289)	XYZ
(776, 0, 306)	(218, 304, 275)	ZXY
(776, 306, 0)	(236, 289, 263)	XYZ
(386, 594, 577)	(272, 252, 254)	YZX
(-1, -1, -1)	(254, 285, 234)	XYZ
(776, 306, 263)	(236, 277, 257)	XZY
(776, 0, 581)	(208, 290, 269)	YZX
(-1, -1, -1)	(239, 290, 234)	XYZ
(-1, -1, -1)	(269, 240, 249)	YXZ
(-1, -1, -1)	(238, 243, 277)	YXZ
(776, 595, 0)	(225, 279, 254)	XZY
(-1, -1, -1)	(278, 262, 217)	YXZ
(-1, -1, -1)	(251, 222, 279)	ZYX
(-1, -1, -1)	(246, 278, 226)	XYZ
(776, 306, 520)	(235, 217, 300)	ZXY
(-1, -1, -1)	(226, 223, 303)	XYZ
(-1, -1, -1)	(214, 307, 232)	ZXY
(-1, -1, -1)	(244, 245, 247)	YZX
(-1, -1, -1)	(251, 269, 217)	XYZ
(-1, -1, -1)	(223, 284, 231)	YXZ
(-1, -1, -1)	(214, 295, 222)	XYZ
(776, 595, 254)	(222, 253, 238)	YZX
(-1, -1, -1)	(283, 222, 211)	ZXY
(-1, -1, -1)	(234, 235, 234)	XZY
(776, 595, 492)	(212, 215, 281)	XYZ
(386, 276, 808)	(205, 211, 212)	ZYX
(386, 594, 831)	(182, 154, 178)	YXZ
(0, 747, 861)	(182, 179, 153)	XYZ
(776, 0, 850)	(167, 180, 159)	XZY
(776, 306, 820)	(163, 167, 166)	XZY
(776, 595, 773)	(159, 151, 183)	YXZ
(-1, -1, -1)	(142, 184, 165)	XZY
(-1, -1, -1)	(155, 182, 150)	ZYX
(-1, -1, -1)	(152, 170, 153)	ZXY
(647, 0, 358)	(127, 174, 176)	XYZ
(-1, -1, -1)	(133, 161, 179)	YZX
(0, 372, 883)	(176, 181, 120)	YXZ
(-1, -1, -1)	(133, 168, 168)	ZYX
(-1, -1, -1)	(181, 158, 129)	YXZ
(386, 888, 0)	(155, 134, 174)	XYZ
(-1, -1, -1)	(174, 163, 125)	XYZ
(776, 874, 0)	(147, 147, 163)	XZY
(-1, -1, -1)	(163, 162, 132)	YZX
(776, 874, 163)	(147, 141, 166)	YXZ
(647, 0, 534)	(117, 164, 178)	YXZ
(-1, -1, -1)	(143, 176, 129)	ZYX
(-1, -1, -1)	(183, 137, 126)	XYZ
(-1, -1, -1)	(166, 119, 158)	YXZ
(-1, -1, -1)	(183, 114, 144)	YXZ
(0, 635, 248)	(171, 96, 182)	ZXY
(-1, -1, -1)	(148, 175, 115)	ZXY
(171, 635, 248)	(167, 112, 157)	XZY
(0, 0, 929)	(175, 183, 91)	YZX
(541, 888, 0)	(135, 130, 165)	YZX
(-1, -1, -1)	(158, 160, 114)	XYZ
(-1, -1, -1)	(173, 114, 140)	YZX
(386, 888, 174)	(155, 130, 134)	YZX
(-1, -1, -1)	(139, 178, 109)	ZXY
(647, 0, 712)	(105, 148, 170)	YZX
(-1, -1, -1)	(132, 155, 129)	YXZ
(-1, -1, -1)	(136, 178, 107)	XYZ
(568, 594, 831)	(88, 168, 172)	XZY
(-1, -1, -1)	(102, 165, 151)	ZYX
(-1, -1, -1)	(121, 173, 121)	XYZ
(171, 635, 405)	(165, 97, 158)	XZY
(541, 888, 165)	(124, 116, 174)	XYZ
(386, 888, 308)	(151, 122, 135)	ZYX
(-1, -1, -1)	(117, 177, 120)	XYZ
(-1, -1, -1)	(152, 163, 100)	YZX
(776, 180, 850)	(154, 99, 161)	YZX
(0, 635, 430)	(154, 85, 184)	XYZ
(171, 635, 563)	(165, 90, 161)	XZY
(-1, -1, -1)	(118, 145, 138)	XZY
(386, 888, 443)	(139, 121, 140)	ZXY
(-1, -1, -1)	(97, 156, 154)	XYZ
(776, 874, 329)	(146, 130, 122)	XYZ
(669, 276, 266)	(84, 166, 165)	XYZ
(-1, -1, -1)	(126, 148, 123)	ZYX
(541, 888, 339)	(107, 116, 184)	ZXY
(776, 874, 451)	(143, 127, 125)	ZXY
(-1, -1, -1)	(145, 156, 100)	ZYX
(171, 635, 724)	(158, 84, 169)	XZY
(647, 174, 358)	(122, 100, 183)	XYZ
(386, 888, 583)	(121, 110, 166)	XYZ
(-1, -1, -1)	(149, 132, 112)	YZX
(0, 183, 929)	(173, 154, 82)	YXZ
(776, 874, 576)	(130, 127, 132)	ZYX
(776, 874, 708)	(129, 108, 154)	XZY
(-1, -1, -1)	(180, 132, 90)	YXZ
(386, 748, 831)	(170, 98, 128)	XZY
(-1, -1, -1)	(114, 162, 111)	XYZ
(-1, -1, -1)	(120, 125, 135)	YXZ
(-1, -1, -1)	(146, 110, 122)	ZXY
(-1, -1, -1)	(138, 88, 161)	YXZ
(-1, -1, -1)	(89, 128, 168)	XYZ
(175, 0, 929)	(127, 161, 93)	YZX
(285, 372, 587)	(81, 163, 143)	XZY
(-1, -1, -1)	(169, 119, 93)	XYZ
(176, 372, 883)	(105, 164, 108)	XYZ
(-1, -1, -1)	(177, 140, 75)	ZYX
(541, 888, 523)	(100, 116, 158)	XZY
(-1, -1, -1)	(171, 100, 107)	YZX
(647, 0, 882)	(104, 126, 139)	XYZ
(-1, -1, -1)	(147, 117, 104)	ZYX
(175, 161, 929)	(113, 182, 86)	YXZ
(776, 874, 862)	(124, 96, 148)	ZXY
(182, 747, 861)	(68, 166, 152)	ZYX
(541, 888, 681)	(94, 111, 161)	ZXY
(285, 372, 730)	(78, 135, 158)	YZX
(386, 0, 953)	(168, 167, 59)	ZXY
(-1, -1, -1)	(162, 112, 91)	XZY
(0, 926, 861)	(161, 81, 126)	YZX
(386, 888, 749)	(116, 103, 136)	XZY
(-1, -1, -1)	(148, 119, 92)	XZY
(-1, -1, -1)	(168, 82, 117)	YZX
(0, 635, 614)	(142, 79, 142)	ZYX
(647, 174, 541)	(91, 97, 180)	ZYX
(323, 0, 354)	(56, 178, 159)	ZXY
(-1, -1, -1)	(184, 140, 61)	ZXY
(-1, -1, -1)	(166, 102, 92)	ZYX
(-1, -1, -1)	(157, 175, 56)	YXZ
(386, 487, 808)	(184, 52, 159)	ZYX
(0, 635, 756)	(134, 70, 160)	ZYX
(0, 553, 883)	(164, 75, 120)	ZXY
(-1, -1, -1)	(112, 147, 88)	ZYX
(-1, -1, -1)	(176, 111, 74)	ZXY
(669, 276, 431)	(69, 154, 136)	YZX
(647, 174, 721)	(90, 92, 173)	ZXY
(-1, -1, -1)	(117, 75, 163)	ZYX
(323, 178, 354)	(55, 183, 141)	YXZ
(692, 594, 0)	(61, 144, 161)	YXZ
(-1, -1, -1)	(114, 153, 81)	ZYX
(171, 635, 893)	(145, 76, 126)	ZYX
(-1, -1, -1)	(137, 69, 146)	ZYX
